nome,fundacao,local,torcida,score
Grêmio,1903,Arena do Grêmio,9757877,100
Palmeiras,1914,Allianz Parque,15780000,85
Internacional,1909,Beira-Rio,6895000,83
Fluminense,1902,Maracanã,5092000,82
Corinthians,1910,Neo Química Arena,29915079,81
Flamengo,1895,Maracanã,42000000,80
Fortaleza,1918,Castelão,2770000,79
São Paulo,1930,Cícero Pompeu de Toledo,18780580,78
Atlético Mineiro,1908,Mineirão,9542728,77
Cruzeiro,1921,Mineirão,8667207,76
Santos,1912,Urbano Caldeira,6200000,75
Botafogo,1904,Nilton Santos,4306563,74
Chapecoense,1973,Arena Condá,5897000,73
Bahia,1931,Arena Fonte Nova,3620000,72
Vasco Da Gama,1898,São Januário,11101907,71
Vitória,1899,Barradão,2500000,70
